Date,AAPL,^GSPC
2023-07-18,191.2276153564453,4554.97998046875
2023-07-19,192.57992553710938,4565.72021484375
2023-07-20,190.63539123535156,4534.8701171875
2023-07-21,189.46075439453125,4536.33984375
2023-07-24,190.26026916503906,4554.64013671875
2023-07-25,191.11904907226562,4567.4599609375
2023-07-26,191.98765563964844,4566.75
2023-07-27,190.7241973876953,4537.41015625
2023-07-28,193.30047607421875,4582.22998046875
2023-07-31,193.9125213623047,4588.9599609375
2023-08-01,193.08335876464844,4576.72998046875
2023-08-02,190.09246826171875,4513.39013671875
2023-08-03,188.70068359375,4501.89013671875
2023-08-04,179.6392822265625,4478.02978515625
2023-08-07,176.5398406982422,4518.43994140625
2023-08-08,177.47755432128906,4499.3798828125
2023-08-09,175.88836669921875,4467.7099609375
2023-08-10,175.6711883544922,4468.830078125
2023-08-11,175.73049926757812,4464.0498046875
2023-08-14,177.3811492919922,4489.72021484375
2023-08-15,175.39443969726562,4437.85986328125
2023-08-16,174.52464294433594,4404.330078125
2023-08-17,171.9844207763672,4370.35986328125
2023-08-18,172.46873474121094,4369.7099609375
2023-08-21,173.8031005859375,4399.77001953125
2023-08-22,175.17698669433594,4387.5498046875
2023-08-23,179.0219268798828,4436.009765625
2023-08-24,174.3368377685547,4376.31005859375
2023-08-25,176.54100036621094,4405.7099609375
2023-08-28,178.10272216796875,4433.31005859375
2023-08-29,181.98716735839844,4497.6298828125
2023-08-30,185.47628784179688,4514.8701171875
2023-08-31,185.6937255859375,4507.66015625
2023-09-01,187.26535034179688,4515.77001953125
2023-09-05,187.5025177001953,4496.830078125
2023-09-06,180.7912139892578,4465.47998046875
2023-09-07,175.503173828125,4451.14013671875
2023-09-08,176.115966796875,4457.490234375
2023-09-11,177.28231811523438,4487.4599609375
2023-09-12,174.25778198242188,4461.89990234375
2023-09-13,172.1919708251953,4467.43994140625
2023-09-14,173.70423889160156,4505.10009765625
2023-09-15,172.98269653320312,4450.31982421875
2023-09-18,175.90843200683594,4453.52978515625
2023-09-19,176.99569702148438,4443.9501953125
2023-09-20,173.4571533203125,4402.2001953125
2023-09-21,171.91519165039062,4330.0
2023-09-22,172.76524353027344,4320.06005859375
2023-09-25,174.04031372070312,4337.43994140625
2023-09-26,169.96804809570312,4273.52978515625
2023-09-27,168.4557647705078,4274.509765625
2023-09-28,168.71275329589844,4299.7001953125
2023-09-29,169.2267303466797,4288.0498046875
2023-10-02,171.73728942871094,4288.39013671875
2023-10-03,170.40296936035156,4229.4501953125
2023-10-04,171.64833068847656,4263.75
2023-10-05,172.88389587402344,4258.18994140625
2023-10-06,175.43397521972656,4308.5
2023-10-09,176.9166259765625,4335.66015625
2023-10-10,176.3235626220703,4358.240234375
2023-10-11,177.71722412109375,4376.9501953125
2023-10-12,178.61669921875,4349.60986328125
